SourceID,Name,Status,RuleID,FilenamePatternCount,FilenameRegex,FilteredFilenameRegex,Reason,SourceRows
rustdesk,RustDesk,Generated,DR-MFT-RMM-163,2,^rustdesk\.exe$|^rustdesk.*\.exe$,,,1
s3_browser,S3 Browser,Generated,DR-MFT-RMM-164,1,^s3browser.*\.exe$,,,1
screenconnect,ScreenConnect,Generated,DR-MFT-RMM-165,6,^ScreenConnect\.ClientService\.exe$|^ScreenConnect\.WindowsClient\.exe$|^ConnectWiseControl.*\.exe$|^Remote Workforce Client\.exe$|^connectwise.*\.exe$|^screenconnect.*\.exe$,,,1
screenmeet,ScreenMeet,Generated,DR-MFT-RMM-166,2,^ScreenMeetSupport\.exe$|^ScreenMeet\.Support\.exe$,,,1
securecrt,SecureCRT,Generated,DR-MFT-RMM-167,1,^SecureCRT\.EXE$,,,1
seetrol,Seetrol,Generated,DR-MFT-RMM-168,5,^seetrolcenter\.exe$|^seetrolclient\.exe$|^seetrolmyservice\.exe$|^seetrolremote\.exe$|^seetrolsetting\.exe$,,,1
senso.cloud,Senso.cloud,Generated,DR-MFT-RMM-169,3,^SensoClient\.exe$|^SensoService\.exe$|^aadg\.exe$,,,1
servereye,ServerEye,Generated,DR-MFT-RMM-170,2,^ServiceProxyLocalSys\.exe$|^servereye.*\.exe$,,,1
shellhub,ShellHub,Excluded,DR-MFT-RMM-327,0,,,No safe Windows filename indicator,1
showmypc,ShowMyPC,Generated,DR-MFT-RMM-172,3,^SMPCSetup\.exe$|^showmypc.*\.exe$|^showmypc\.exe$,,,1
simplehelp,SimpleHelp,Generated,DR-MFT-RMM-173,7,^remote access\.exe$|^simplegatewayservice\.exe$|^simplehelpcustomer\.exe$|^simpleservice\.exe$|^spsrv\.exe$|^windowslauncher\.exe$|^vhost\.exe$,,,2
site24x7,Site24x7,Generated,DR-MFT-RMM-174,4,^MEAgentHelper\.exe$|^MonitoringAgent\.exe$|^Site24x7PluginAgent\.exe$|^Site24x7WindowsAgentTrayIcon\.exe$,,,1
skyfex,SkyFex,Generated,DR-MFT-RMM-171,2,^DeskRollUA\.exe$|^Deskroll\.exe$,,,1
